ticker,name,signal_date,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,exit_reason,signal_score,box_high,box_low,box_range_pct,vcp_score,reason
005930,삼성전자,2025-12-26,2025-12-29,2025-12-30,119400.0,119900.0,0.42,2,time_exit,90,112500,99900,12.61,14,"박스권 형성 여부: 최근 20일 박스폭 12.61%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.42% → 2.41% → 2.31% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.29배이고, 돌파일 거래량은 20일 평균의 1.86배입니다."
005935,삼성전자우,2025-06-24,2025-06-25,2025-07-08,50200.0,51500.0,2.59,10,time_exit,80,50400,44200,14.03,14,"박스권 형성 여부: 최근 20일 박스폭 14.03%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.16% → 2.16% → 1.80% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.12배이고, 돌파일 거래량은 20일 평균의 1.88배입니다."
005380,현대차,2025-07-23,2025-07-24,2025-08-04,221000.0,209950.0,-5.0,8,stop_loss,94,221500,203000,9.11,14,"박스권 형성 여부: 최근 20일 박스폭 9.11%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.90% → 2.80% → 2.62% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.21배이고, 돌파일 거래량은 20일 평균의 3.68배입니다."
034020,두산에너빌리티,2025-01-17,2025-01-20,2025-01-24,22100.0,24310.0,10.0,5,take_profit,86,21100,17430,21.06,14,"박스권 형성 여부: 최근 20일 박스폭 21.06%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 3.38% → 3.28% → 3.05% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.21배이고, 돌파일 거래량은 20일 평균의 2.29배입니다."
329180,HD현대중공업,2025-06-24,2025-06-25,2025-06-25,469500.0,446025.0,-5.0,1,stop_loss,78,458000,385000,18.96,14,"박스권 형성 여부: 최근 20일 박스폭 18.96%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 4.80% → 4.41% → 4.40% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.07배이고, 돌파일 거래량은 20일 평균의 1.87배입니다."
009150,삼성전기,2025-02-07,2025-02-10,2025-02-21,137600.0,143200.0,4.07,10,time_exit,91,135600,123000,10.24,14,"박스권 형성 여부: 최근 20일 박스폭 10.24%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 3.31% → 3.17% → 2.66% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.12배이고, 돌파일 거래량은 20일 평균의 2.07배입니다."
009150,삼성전기,2025-06-24,2025-06-25,2025-07-08,139300.0,136700.0,-1.87,10,time_exit,84,134800,116200,16.01,14,"박스권 형성 여부: 최근 20일 박스폭 16.01%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 3.07% → 2.99% → 2.87% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.08배이고, 돌파일 거래량은 20일 평균의 1.38배입니다."
000270,기아,2025-09-11,2025-09-12,2025-09-16,106100.0,100795.0,-5.0,3,stop_loss,84,107900,101900,5.89,14,"박스권 형성 여부: 최근 20일 박스폭 5.89%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 1.68% → 1.54% → 1.44% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.18배이고, 돌파일 거래량은 20일 평균의 1.84배입니다."
105560,KB금융,2025-01-31,2025-02-03,2025-02-06,91600.0,87020.0,-5.0,4,stop_loss,88,91700,82900,10.62,14,"박스권 형성 여부: 최근 20일 박스폭 10.62%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.26% → 2.07% → 2.01% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.16배이고, 돌파일 거래량은 20일 평균의 2.38배입니다."
006400,삼성SDI,2025-06-12,2025-06-13,2025-06-26,173900.0,174600.0,0.4,10,time_exit,69,179000,157700,13.51,14,"박스권 형성 여부: 최근 20일 박스폭 13.51%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단 95% 이상 구간에 근접했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 3.82% → 3.75% → 2.80% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.13배이고, 돌파일 거래량은 20일 평균의 2.11배입니다."
032830,삼성생명,2025-04-30,2025-05-02,2025-05-19,86000.0,89000.0,3.49,10,time_exit,84,85500,73300,16.64,14,"박스권 형성 여부: 최근 20일 박스폭 16.64%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.40% → 2.10% → 2.02% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.09배이고, 돌파일 거래량은 20일 평균의 1.97배입니다."
028260,삼성물산,2025-09-09,2025-09-10,2025-09-15,178000.0,195800.0,10.0,4,take_profit,87,177300,155300,14.17,14,"박스권 형성 여부: 최근 20일 박스폭 14.17%로 스윙 박스 구간에 해당합니다.; 박스 상단 근접/돌파 여부: 현재 종가가 박스 상단을 돌파했습니다.; 변동성 축소 여부: 20일→10일→5일 변동성이 2.66% → 2.55% → 2.46% 흐름입니다.; 거래량 증가 여부: 최근 5일 평균 거래량은 20일 평균의 1.19배이고, 돌파일 거래량은 20일 평균의 1.84배입니다."
